Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.04,-.39,-.12,-.01,-.81,-.50,-.31,-.15,-.09,-.03,.05,.67
1881,-.09,-.19,.01,-.37,.11,-.06,-.92,-.47,-.23,.10,.12,-.04,-.07,.59
1882,-.11,-.23,.00,-.33,-.04,.02,-1.42,-.29,-.18,-.05,-.04,.02,.04,.62
1883,-.17,-.29,-.06,-.36,-.16,-.01,-.18,-.57,-.28,-.17,-.14,-.03,.07,.50
1884,-.28,-.44,-.14,-.62,-.14,-.13,-1.31,-.65,-.49,-.12,-.16,-.18,-.02,.65
1885,-.33,-.45,-.24,-.67,-.13,-.27,-1.50,-.69,-.49,-.07,-.19,-.33,-.15,.82
1886,-.32,-.44,-.19,-.59,-.19,-.21,-1.58,-.51,-.43,-.21,-.17,-.19,-.20,.59
1887,-.36,-.45,-.28,-.54,-.29,-.28,-1.76,-.52,-.32,-.29,-.30,-.27,-.26,.32
1888,-.18,-.24,-.11,-.43,.10,-.29,-1.30,-.44,-.27,.07,.14,-.30,-.23,.16
1889,-.11,-.18,-.04,-.31,.08,-.16,-.68,-.23,-.30,.02,.15,-.15,-.15,.45
1890,-.35,-.39,-.32,-.47,-.37,-.22,-1.14,-.57,-.29,-.27,-.47,-.17,-.27,.15
1891,-.23,-.26,-.19,-.44,-.07,-.21,-1.12,-.35,-.38,.01,-.16,-.17,-.24,-.16
1892,-.27,-.40,-.15,-.45,-.29,-.08,-1.14,-.68,-.19,-.31,-.26,.03,-.21,.09
1893,-.31,-.47,-.16,-.51,-.36,-.05,-.60,-.55,-.49,-.41,-.32,.07,-.20,-.04
1894,-.31,-.39,-.24,-.33,-.36,-.24,-.90,-.33,-.20,-.48,-.24,-.14,-.35,-.38
1895,-.23,-.30,-.16,-.41,-.09,-.26,-.64,-.54,-.28,-.14,-.03,-.19,-.32,-.59
1896,-.11,-.19,-.03,-.35,.10,-.15,-.82,-.38,-.23,.07,.13,-.15,-.13,.25
1897,-.11,-.16,-.05,-.36,.17,-.23,-.51,-.47,-.25,.15,.20,-.18,-.27,.40
1898,-.27,-.29,-.26,-.36,-.22,-.26,-1.13,-.25,-.25,-.17,-.27,-.27,-.21,.37
1899,-.18,-.20,-.14,-.24,-.12,-.18,-1.00,-.11,-.16,-.14,-.09,-.15,-.22,.58
1900,-.08,-.08,-.06,-.20,.18,-.30,-.52,-.16,-.16,.11,.26,-.28,-.29,.27
1901,-.15,-.12,-.18,-.16,-.04,-.30,-.34,-.11,-.16,-.06,-.02,-.27,-.34,.26
1902,-.28,-.33,-.22,-.54,-.03,-.34,-1.50,-.51,-.33,-.01,-.05,-.27,-.43,-.05
1903,-.37,-.37,-.36,-.47,-.28,-.38,-.20,-.43,-.57,-.23,-.33,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.52,-.46,-.44,-.20,-.61,-.56,-.43,-.50,-.37,-.49,-1.33
